EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
2.057,-1.845,2.163,5.710,0.087,0.607,1.646,2.371,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4929.000,0.000
2.179,-1.328,1.664,5.417,0.734,1.611,2.626,2.614,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4930.000,0.000
2.373,-0.679,2.099,5.833,1.230,2.293,3.383,2.988,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4931.000,0.000
2.557,-0.272,3.072,6.494,1.346,2.212,3.235,3.114,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4932.000,0.000
2.625,-0.078,3.389,6.603,1.451,2.158,3.021,3.052,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4933.000,0.000
2.620,0.210,3.149,6.393,1.804,2.662,3.487,3.139,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4934.000,0.000
2.737,0.718,3.278,6.551,2.255,3.327,4.203,3.433,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4935.000,0.000
2.991,1.231,3.896,7.029,2.565,3.624,4.444,3.655,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4936.000,0.000
3.121,1.507,4.349,7.275,2.696,3.601,4.286,3.655,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4937.000,0.000
3.045,1.652,4.386,7.198,2.827,3.713,4.357,3.640,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4938.000,0.000
3.062,1.986,4.386,7.203,3.150,4.205,4.880,3.827,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4939.000,0.000
3.333,2.524,4.668,7.477,3.575,4.752,5.377,4.090,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4940.000,0.000
3.537,2.899,5.104,7.765,3.795,4.884,5.393,4.169,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4941.000,0.000
3.442,2.982,5.374,7.825,3.792,4.749,5.216,4.107,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4942.000,0.000
3.362,3.147,5.382,7.769,3.951,4.984,5.470,4.184,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4943.000,0.000
3.106,3.875,4.312,6.831,4.648,5.506,5.801,4.023,-0.050,0.934,-0.428,-0.702,0.732,1.007,80.000,4944.000,1.000
0.669,4.604,0.064,2.605,5.490,4.606,4.208,2.163,-0.050,0.933,-0.426,-0.580,0.732,1.099,80.000,4945.000,1.000
-5.104,3.162,-7.219,-5.184,4.961,1.163,-0.815,-2.174,-0.048,0.932,-0.426,-0.549,0.641,1.038,80.000,4946.000,1.000
-10.186,-0.129,-14.056,-12.537,3.512,-0.971,-5.786,-6.827,-0.046,0.933,-0.427,-0.641,0.702,1.007,80.000,4947.000,1.000
-9.431,-0.605,-17.424,-15.451,4.460,2.857,-4.406,-7.866,-0.048,0.933,-0.426,-0.671,0.580,1.099,80.000,4948.000,1.000
